jaccard,kendall_tau,risk
0.0,-0.06719367951154709,0.17477572
0.0,-0.05138339847326279,0.11798302
0.0,-0.27272728085517883,0.18503718
0.0,-0.0988142266869545,0.21232124
0.2,0.0988142266869545,0.022041425
0.2,-0.011857707053422928,0.67428625
0.0,-0.06719367951154709,0.097431175
0.0,0.12252964079380035,0.025060833
0.2,0.17786560952663422,0.098033234
0.0,-0.0988142266869545,0.09271611
0.2,0.07509881258010864,0.24912122
0.2,0.043478261679410934,0.36330122
0.2,0.0830039530992508,0.28548488
0.0,-0.1462450623512268,0.13463683
0.0,-0.035573121160268784,0.065585986
0.5,0.47035571932792664,0.50801337
0.0,-0.13833992183208466,0.026115967
0.2,-0.1620553433895111,0.42645302
0.0,-0.07509881258010864,0.06809282
0.2,-0.06719367951154709,0.20193668
0.2,0.07509881258010864,0.0319841
0.2,0.05138339847326279,0.142051
0.2,0.07509881258010864,0.10504599
0.2,0.035573121160268784,0.12181196
0.2,0.24110671877861023,0.22025396
0.0,-0.1304347813129425,0.21109742
0.0,0.1462450623512268,0.15231308
0.2,0.2648221254348755,0.048076447
1.0,0.573122501373291,0.77511317
0.2,0.24901185929775238,0.42575222
0.2,0.30434781312942505,0.24551842
0.0,0.0830039530992508,0.14005955
0.5,0.4624505937099457,0.8062523
0.0,-0.02766798436641693,0.15531726
0.0,-0.27272728085517883,0.08962163
0.0,-0.043478261679410934,0.0907854
0.0,0.13833992183208466,0.09731049
0.0,0.09090909361839294,0.092109635
0.2,0.27272728085517883,0.08111301
0.5,0.035573121160268784,0.53667367
0.0,0.07509881258010864,0.12373387
0.2,0.16996046900749207,0.7039035
0.0,0.09090909361839294,0.19960555
0.0,-0.10671936720609665,0.096693054
0.0,-0.043478261679410934,0.11540438
0.0,-0.21739129722118378,0.08009852
0.0,0.035573121160268784,0.121963575
0.5,0.3913043439388275,0.6380362
0.0,0.003952569328248501,0.086403266
0.2,0.35177865624427795,0.2900693
0.0,0.01976284570991993,0.3004088
0.2,0.35177865624427795,0.059804678
0.2,0.4545454680919647,0.7693825
0.2,0.28853756189346313,0.7435859
0.2,0.21739129722118378,0.23306298
0.0,0.07509881258010864,0.045880664
0.0,-0.13833992183208466,0.16381301
0.0,0.13833992183208466,0.03380486
0.2,0.3280632495880127,0.027903123
1.0,0.6047430634498596,0.8178611
0.2,0.09090909361839294,0.12327365
0.5,0.16996046900749207,0.5961922
0.5,0.043478261679410934,0.30673495
0.0,0.1304347813129425,0.10451255
0.5,0.17786560952663422,0.18470484
0.0,-0.043478261679410934,0.09081896
0.2,0.1462450623512268,0.40229982
0.2,0.28853756189346313,0.27115512
0.0,-0.15415020287036896,0.05359326
0.2,0.035573121160268784,0.09210494
0.2,-0.1146245077252388,0.14241542
0.0,0.02766798436641693,0.08064497
0.0,0.1304347813129425,0.025162416
0.2,0.12252964079380035,0.49677092
0.0,-0.1146245077252388,0.08392235
0.2,0.035573121160268784,0.21269304
0.0,0.18577075004577637,0.076265596
0.0,0.16996046900749207,0.074719936
0.2,0.21739129722118378,0.21652225
0.0,-0.1304347813129425,0.088283285
0.5,0.39920949935913086,0.6243588
0.2,-0.043478261679410934,0.068288825
0.5,0.17786560952663422,0.29797652
0.0,-0.1304347813129425,0.18365818
0.2,0.0988142266869545,0.36493456
0.0,0.011857707053422928,0.273541
0.5,0.18577075004577637,0.6583963
0.0,-0.21739129722118378,0.113329306
0.0,0.011857707053422928,0.103645556
0.0,0.043478261679410934,0.18311688
0.2,0.17786560952663422,0.11051772
0.0,0.043478261679410934,0.18116276
0.2,0.07509881258010864,0.10850944
1.0,0.343873530626297,0.7814287
0.2,0.05928853899240494,0.43950203
0.5,0.22529643774032593,0.20635541
0.2,0.13833992183208466,0.19117768
0.5,0.16996046900749207,0.41194502
0.2,0.24901185929775238,0.35986578
0.0,0.06719367951154709,0.045711707
0.5,0.30434781312942505,0.1881422
0.0,0.09090909361839294,0.22952119
0.0,0.0830039530992508,0.12813771
0.0,-0.0988142266869545,0.08399098
0.2,0.13833992183208466,0.21020822
0.0,0.05928853899240494,0.2018871
0.0,0.1304347813129425,0.2631588
0.0,-0.07509881258010864,0.064795025
0.0,0.16996046900749207,0.08987647
0.2,0.13833992183208466,0.108710766
0.0,0.33596837520599365,0.31383166
0.2,0.02766798436641693,0.26061547
0.2,0.003952569328248501,0.1803912
0.0,-0.0988142266869545,0.13321027
0.0,0.0830039530992508,0.118138656
0.2,0.035573121160268784,0.15698294
0.0,0.10671936720609665,0.21937929
0.2,0.05138339847326279,0.22543046
0.0,0.13833992183208466,0.09264638
0.5,0.343873530626297,0.70294315
0.0,0.06719367951154709,0.0368429
0.0,-0.01976284570991993,0.18050492
0.5,0.05138339847326279,0.58027184
0.0,-0.011857707053422928,0.13971666
0.0,-0.20158103108406067,0.056031615
0.0,-0.19367589056491852,0.06981143
0.2,0.01976284570991993,0.1095029
0.2,0.4150197505950928,0.74457717
0.2,0.33596837520599365,0.14116655
0.2,0.39920949935913086,0.4283816
0.5,0.4624505937099457,0.61092395
0.2,0.35177865624427795,0.42644683
0.0,-0.02766798436641693,0.0507716
0.2,0.1304347813129425,0.07479076
0.5,0.24110671877861023,0.89151084
0.0,0.043478261679410934,0.08987822
0.2,0.4150197505950928,0.3182754
0.2,0.3596837818622589,0.08601505
0.2,0.18577075004577637,0.10603886
0.0,0.01976284570991993,0.05149615
0.2,0.09090909361839294,0.02786215
0.0,0.06719367951154709,0.20012073
0.5,0.2964426875114441,0.7661059
0.0,-0.07509881258010864,0.124436766
0.2,0.24901185929775238,0.043655083
0.0,0.035573121160268784,0.16880181
0.5,0.1462450623512268,0.77042353
0.0,-0.16996046900749207,0.027205553
0.0,-0.035573121160268784,0.08971998
0.2,0.035573121160268784,0.30308563
0.2,0.0830039530992508,0.56886244
0.2,0.035573121160268784,0.17134233
0.2,0.12252964079380035,0.18488078
0.0,0.0988142266869545,0.11244332
0.5,0.30434781312942505,0.7562857
0.0,0.01976284570991993,0.04106552
0.0,0.1462450623512268,0.04506764
0.2,0.05138339847326279,0.07132605
0.2,0.05138339847326279,0.18428984
