LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
331160,2,1,2,28,-1,-1,0,0,-1,0,377630,198610,341878,28450,176763,128394,126758,104064,35144,93883,6966,19264,0
53744,1,3,1,46,1,2,0,0,0,0,12258,37584,20831,19807,19280,1271,1063,1250,553,619,302,421,0
18826,2,2,1,35,0,0,0,0,0,0,19610,27309,8753,9582,2776,25437,1523,1760,1692,568,970,544,0
139562,1,3,1,49,0,-1,-2,-2,-2,-2,156,1044,1947,-1192,879,-1274,1234,2873,0,203,110,0,0
203958,2,2,2,24,0,0,0,0,0,0,194486,224057,175906,192184,159493,92475,5901,8997,7517,8062,4321,4816,0
55334,2,2,2,24,-1,-1,-1,0,-1,0,13528,16839,9944,707,8016,11823,1674,188,64,2861,0,1222,0
385097,2,1,2,34,-2,-2,-2,-2,0,0,428813,274416,242710,331245,208944,192264,25223,17617,54174,31755,20944,13965,0
202037,2,2,2,40,0,0,0,0,0,0,195400,142895,175144,148782,139003,142188,7356,8831,7139,5952,5356,1685,0
54550,2,2,2,29,1,2,0,0,0,0,40111,36620,27342,18048,14296,14727,13,3335,1017,1576,787,1503,0
389406,2,1,2,36,0,0,0,0,0,0,321582,202073,390739,241707,226552,158369,10032,10506,14345,16576,12011,10827,0
154637,2,1,2,27,-1,-1,-1,-1,-1,-1,3384,9312,24994,274,4011,1061,0,2271,0,10881,95,767,0
188905,2,1,2,31,1,-2,-1,-2,-1,-1,-2090,-685,714,-674,867,446,1472,871,0,238,232,948,0
115401,2,2,2,36,0,0,0,0,0,0,80823,93254,90151,83672,65146,85372,5401,5426,2802,2427,1562,1223,0
82295,2,2,1,32,1,-1,-1,0,0,0,3760,3056,45577,28690,14862,11087,1151,2214,3480,36215,236,1022,0
30492,2,2,2,26,0,0,0,0,0,0,23375,36676,36688,32684,19076,45307,3759,795,1611,2680,385,611,0
26139,2,2,2,35,0,0,0,0,0,0,24198,22436,6231,15440,5343,3711,1516,959,1414,3227,1189,3397,0
17525,1,2,1,52,-1,-1,2,-1,-1,-1,166,3128,-2770,1222,130,1292,426,798,0,238,1090,883,0
76829,2,2,2,27,0,0,0,0,0,0,42272,40712,64226,37776,48058,26097,2380,2950,687,2433,1817,1315,0
209349,2,2,1,40,-2,-2,-2,-2,-2,-2,3622,1106,643,281,1582,658,1579,313,0,806,0,659,0
114903,1,3,1,50,-1,-1,-1,-1,-1,-1,1406,3557,3844,256,1111,-925,1368,755,1053,661,0,0,0
505876,2,1,2,36,-2,-2,-2,-2,-2,-2,4216,16507,22112,98422,82334,7217,23004,19697,36568,22010,25785,3520,0
362963,2,1,1,34,-2,-2,-2,-2,-2,-2,17146,12018,2611,5769,276,1287,10269,887,161,733,177,32,0
58448,1,2,1,37,0,0,0,0,0,0,15960,12249,28504,4175,9996,1638,1991,2059,451,503,18,179,0
96002,2,2,2,24,0,0,0,0,0,0,39387,35935,28219,42963,34177,46519,1743,3640,1864,266,2948,2589,0
155788,2,1,1,32,0,0,-1,0,0,0,16025,9876,3903,17947,3983,16065,5969,3139,5535,4341,307,1529,0
193152,1,2,2,25,2,0,0,0,0,0,180771,187167,162822,166933,147655,119678,5750,5358,747,1824,320,2130,0
407595,2,1,2,35,-1,-1,-1,-1,-1,-1,4641,14812,13007,1963,1693,358,28065,590,2023,3601,0,421,0
151307,2,1,2,24,-2,-2,-2,-2,-2,-2,-308,2267,4114,1122,-391,954,4071,3017,152,141,87,0,0
356122,1,2,1,48,0,0,0,0,0,0,85534,104056,102435,104086,104859,83518,6907,8092,5505,6296,7921,3083,0
143556,2,2,1,40,0,0,0,0,0,0,52876,60961,37891,54574,48057,45686,4724,2813,1730,1741,3577,3231,0
29513,2,2,2,23,0,0,0,0,0,0,10984,-1118,11005,-2002,2945,17195,3252,1285,1161,333,0,617,0
367029,2,1,2,32,-1,-1,-1,-2,-1,-1,47116,43502,12041,5085,2557,15757,37618,340,856,875,0,344,0
196046,2,1,1,35,-1,-1,-1,-1,-1,-1,3174,673,427,212,-909,842,945,216,823,4772,789,83,0
12996,2,2,2,23,-1,-1,2,0,0,0,3453,2063,2027,251,7195,8810,760,755,801,500,0,834,0
140643,2,2,2,26,0,0,0,0,0,0,278370,171288,150207,162250,128304,141407,6822,6246,4494,9447,4865,6312,0
239980,2,2,2,23,0,0,0,0,0,0,236685,146151,115619,160970,149070,188104,5270,4391,5716,9685,3882,6535,1
25872,2,2,2,37,0,0,0,0,0,0,14699,8038,10399,14420,10768,15631,1122,1520,750,91,261,408,0
482482,1,1,1,55,0,0,-2,-2,-2,-2,469326,583366,26720,391823,7207,17786,26256,12482,19755,6467,29122,11595,0
46123,2,2,1,37,0,0,0,0,0,0,57838,52659,29297,21773,19755,15343,2722,3463,3251,1737,1778,1700,0
206543,2,1,2,30,-2,-2,-1,-1,-1,-1,457,17953,1580,1314,1876,1510,1380,2037,1358,2272,1636,1992,0
50421,2,2,1,60,2,0,0,0,0,0,41827,25138,36259,23376,29901,14722,2296,2527,672,2258,1354,1748,0
42602,2,2,2,30,0,0,0,0,0,0,29808,23845,35726,40147,30949,24031,2430,2929,2642,1850,102,2306,0
25086,2,2,1,41,0,0,0,0,0,0,10553,9762,17174,13996,21532,11558,1513,1831,1890,527,1222,536,0
106167,2,2,2,27,0,0,0,0,0,0,27478,19108,19382,36412,29326,19767,2980,3214,1048,2864,3340,2029,0
24402,1,2,1,36,1,2,2,7,-1,2,1423,133,-442,1286,1134,-293,90,0,0,538,92,67,1
50750,2,2,1,38,1,2,0,0,0,0,32847,18099,56697,14335,11971,24282,494,1469,192,657,1177,1920,0
17646,2,2,2,29,0,0,0,0,0,0,18555,16310,15538,33477,21222,21019,1180,1333,1395,2775,1190,2173,0
24082,2,2,1,34,1,2,0,0,0,0,12002,26404,26624,15907,54676,18266,393,2323,424,1157,1915,2597,0
91062,2,2,2,26,0,0,0,0,0,0,149423,88365,87857,47078,38747,32409,3380,3198,4581,2519,1959,1270,0
136165,2,2,1,40,0,0,0,0,0,0,65867,98705,89820,75621,65916,89348,4229,5004,3350,2524,3715,3250,0
81502,2,2,2,27,2,2,2,2,2,2,43105,60277,49359,44057,47746,58801,5161,2855,1476,2443,3698,2584,1
50572,2,2,2,27,0,0,0,0,0,0,53921,35924,45668,17436,17959,43656,1192,2049,2654,1906,1946,2011,0
203092,2,2,2,32,0,0,0,0,0,-1,20201,31428,16702,20656,5993,19421,1975,8057,1809,5285,1997,8169,0
21137,2,2,2,29,0,0,0,0,-1,-1,48598,33310,4964,3347,2561,767,934,428,1960,138,202,1293,0
31401,2,2,2,28,0,0,0,0,0,0,18380,11864,9206,15892,5603,21326,812,1298,1333,710,692,1137,0
146433,2,1,2,24,0,0,2,0,0,2,76200,91675,94596,93329,97439,99719,8439,2474,3809,8184,4715,3597,0
228025,2,2,1,42,2,2,2,0,0,0,134503,146086,102887,110794,91158,80871,4672,0,5143,95307,541,769,1
50452,2,2,1,37,0,0,0,0,0,0,41433,47957,21124,39449,49195,39041,700,567,977,2950,1221,1943,0
237960,2,1,2,28,-1,2,-1,-1,-1,-1,-2446,3552,1062,9648,1609,2188,2051,64,1105,2003,1378,345,0
32741,1,3,1,45,2,2,2,-1,-1,-1,632,973,413,-945,1312,1104,2377,0,1377,73,288,266,1
90366,1,2,1,38,7,6,5,4,-2,-2,102273,136462,861,-1100,81457,1553,8054,0,0,0,0,0,1
107549,2,2,2,25,2,2,2,0,0,0,56508,63952,43134,38025,47497,45109,2578,2840,1873,2195,1859,1701,1
228805,2,1,2,32,1,-2,-1,-2,-2,-2,473,2642,-1353,1683,4149,-829,1049,348,106,2238,0,677,0
10627,1,2,2,26,3,2,2,2,2,2,18440,12172,28417,12695,16749,14740,1621,2042,134,2989,1138,251,1
103688,2,2,1,35,0,0,0,0,0,0,62354,85562,46514,78655,70770,60384,3323,3947,2496,2982,1820,2655,0
346792,2,2,2,28,-1,-1,0,0,0,0,97707,94942,83779,49213,29286,38855,121811,59379,4047,2128,2149,1593,0
26345,1,2,2,25,2,2,2,2,2,2,14440,15754,6737,15632,10619,7506,3122,0,702,62,402,0,1
178725,2,1,2,27,-2,-2,-2,-2,-2,-2,-544,945,-746,-7673,5118,-176,1292,509,604,9190,159,53,0
53734,2,2,1,55,0,0,0,0,0,0,39248,33377,39356,62002,28153,28203,3579,1807,1869,1319,627,1887,0
83770,2,2,2,24,0,0,0,0,0,0,49686,43144,38080,40316,59404,64215,3263,2060,786,1632,2029,2112,0
32552,2,3,1,49,0,0,0,0,0,0,8537,18061,10122,3004,2428,253,3430,1425,727,42,0,0,0
19577,1,2,2,23,0,0,0,0,2,2,2570,10098,6340,14801,11966,10964,2006,1220,2074,1924,226,400,1
100260,2,2,2,28,0,0,0,0,0,0,45008,47105,42836,32244,59518,40823,2188,3651,2712,2642,960,1847,0
90259,1,3,1,57,0,0,0,0,0,0,53950,66876,63586,46655,22997,45751,5099,1997,3535,3158,559,763,0
33142,2,2,2,25,0,0,0,-1,-1,-1,1481,1051,1174,9629,607,3514,814,0,1599,436,0,88,0
66152,2,2,2,23,2,0,2,2,0,0,69682,76585,75292,80392,50116,82706,4943,3035,3296,2116,4255,1555,1
300951,2,1,2,37,-1,-1,-2,-2,-2,-1,11228,2007,-1734,2860,4980,51220,1535,20570,741,6196,117820,683,0
48062,1,3,1,58,0,0,0,0,0,2,43545,46155,35351,31418,27349,12377,1838,0,1083,0,0,392,0
349221,2,2,1,51,-1,0,-1,-1,-1,-1,40992,59700,20372,8712,4858,1044,43475,22300,584,6312,61506,8643,0
410471,2,1,2,32,-2,-2,-2,2,-1,0,183996,170468,168342,124130,82101,150278,361,4122,0,3773,63541,2040,0
312655,1,2,1,45,0,0,0,0,0,0,161877,166298,121751,64148,154143,108946,116007,83835,5793,92490,73740,2653,0
91269,2,2,2,28,0,0,0,0,0,2,86146,74712,79524,81035,69458,80998,3425,3906,5845,1631,1992,1181,0
464255,2,1,1,51,-2,-2,-1,-1,-1,-1,1275,3395,18351,13001,22850,1465,5017,16698,22210,26857,22349,10253,0
69071,2,1,2,26,0,0,0,0,2,2,134820,88646,57946,86332,94710,88421,5918,5089,3246,6046,3659,2372,0
57997,2,2,2,23,0,0,0,0,0,-1,5093,17881,3273,14151,3840,2741,1386,2276,132,70,288,764,0
86397,2,2,2,27,0,0,0,0,0,0,50468,73433,85923,59632,37419,32428,2492,4057,2267,2562,1411,4292,0
84324,2,2,2,39,0,0,0,0,0,2,86025,48586,30957,37853,35918,36458,4270,2302,293,1887,0,2186,0
194402,2,1,2,24,-2,-2,-2,-2,-2,-2,1313,-262,259,151,649,3151,706,985,797,775,428,3143,0
72464,2,2,1,37,0,0,0,0,0,0,38991,31195,17523,16601,25333,8920,5369,2972,3269,732,382,313,0
19022,2,2,2,25,0,2,0,0,0,0,9901,29866,16466,19379,20862,23281,1930,2534,553,670,1702,485,0
197277,2,2,2,40,0,0,0,0,0,0,31597,33601,41331,36345,21874,41273,5970,4474,2829,3117,2499,3291,0
